trial,epsilon_m,eps_total_idx,eps_total,T,hv_NSGAII,hv_MOMA,hv_AMOMA,f1_min,f1_max,f2_min,f2_max,f3_min,f3_max
1,0.4793452844894778,3,1.44,3,0.648295444689411,0.688170577332289,0.9877056999940843,0.3514019614277739,0.3580058681669236,0.0030637497989269,0.6047814104095035,1.4380358534684334,1.44
1,0.4793452844894778,4,1.92,4,0.9807402606234363,0.979564085568637,0.9370706290211085,0.3513372197291342,0.3627366280092786,0.0022648581464107,0.614332860524213,1.917381137957911,1.92
1,0.4793452844894778,5,2.4,5,0.724611435884719,0.7279197330216489,0.7646278618871171,0.3514396582559534,0.358649583980238,0.0044090594740808,0.0485175870290153,2.3967264224473888,2.4000000000000004
1,0.4793452844894778,6,2.88,6,0.8784499374437231,0.9923908387807567,0.9939342572940221,0.3513625516880942,0.7256488912883798,0.0045840597813733,0.6515164094843575,2.8760717069368664,2.8800000000000003
1,0.4793452844894778,7,3.36,7,0.3434388889589446,0.4881096643110138,0.8759976819783908,0.3512472328174799,0.3539865598902108,0.0045455565609881,0.1008492421491568,3.355416991426344,3.3600000000000003
1,0.4793452844894778,8,3.84,7,0.2863441404810814,0.8862829796707254,0.9308376099350818,0.3507935420621675,0.3668426796440999,0.0013255054544521,0.6800865856702002,3.355416991426344,3.84
1,0.4793452844894778,9,4.32,7,0.17981184687761406,0.5503159919025324,0.9143530456177693,0.3505947945554641,0.3597074856913362,0.0009264218879166,0.6877217866130628,3.355416991426344,4.32
1,0.4793452844894778,10,4.8,7,0.14702379409045108,0.4919251316277945,0.8335565102408463,0.3505667239716287,0.3590461937150119,0.0007743737767172,0.6877632597858834,3.355416991426344,4.800000000000001
10,0.4793452844894778,3,1.44,3,0.8402839166780145,0.8438564244626224,0.9713705266923005,0.3513941498207427,0.3648874591900847,0.0030401528054098,0.6520792417762014,1.4380358534684334,1.44
10,0.4793452844894778,4,1.92,4,0.7970570494163508,0.8380367700756086,0.8961064647967435,0.3513372169329877,0.3611731100530657,0.0039698305863458,0.063946109642244,1.917381137957911,1.9200000000000004
10,0.4793452844894778,5,2.4,5,0.5800024041889553,0.7903457218788151,0.9604220839439986,0.3514396892027538,0.363399527970854,0.0044089132190117,0.0517236349039067,2.3967264224473888,2.4
10,0.4793452844894778,6,2.88,6,0.7282800675585589,0.7709013464577954,0.8534696125049793,0.3517581971807285,0.3641644728793504,0.0035381711497103,0.043673447487862,2.8760717069368664,2.880000000000001
10,0.4793452844894778,7,3.36,7,0.4440615637392889,0.7670701582354738,0.8777414078528989,0.3512494571722929,0.3577940709285941,0.0047305323544515,0.1008492421491568,3.355416991426344,3.3600000000000003
10,0.4793452844894778,8,3.84,7,0.253184433530061,0.8235888468641188,0.8783060539869354,0.3508056073706608,0.3645829640554242,0.0020812585345068,0.6633122759816463,3.355416991426344,3.84
10,0.4793452844894778,9,4.32,7,0.18614269339572642,0.5615841309298094,0.8740711511585654,0.3505506321124986,0.3610480433037019,0.0010849995046005,0.6870665940465865,3.3806031016732114,4.320000000000001
10,0.4793452844894778,10,4.8,7,0.14808842856250704,0.5968603684530237,0.8874133119757548,0.3505797876463439,0.3648414796093127,0.0007235373831501,0.6756298452583249,3.3678796667751936,4.8
11,0.4793452844894778,3,1.44,3,0.4208910970033893,0.44867584569654717,0.5705155977651251,0.3514019614277739,0.3580058681669236,0.0030637497989269,0.0197837306272326,1.4380358534684334,1.44
11,0.4793452844894778,4,1.92,4,0.9482664801844869,0.9518612948875413,0.9661696042180417,0.3513372197291359,0.4848618374081753,0.0039204010110574,0.1326934192080492,1.917381137957911,1.92
11,0.4793452844894778,5,2.4,5,0.7004660309785564,0.7109534330876418,0.8544905061105991,0.3514396582559534,0.3599019056252139,0.0044090597276256,0.0485175870290153,2.3967264224473888,2.4
11,0.4793452844894778,6,2.88,6,0.7049970850940848,0.732696524466831,0.9077475662696706,0.3517370783672926,0.3609722771801174,0.0035377290899456,0.043673447487862,2.8760717069368664,2.8800000000000003
